x	y	z
259750	3820250	1273.528061
260250	3820250	1259.384879
260750	3820250	1269.821296
261250	3820250	1276.729145
261750	3820250	1280.459597
262250	3820250	1272.897762
262750	3820250	1252.942325
263250	3820250	1242.77049
263750	3820250	1245.588181
264250	3820250	1313.346469
264750	3820250	1366.828783
265250	3820250	1465.391903
265750	3820250	1533.10528
266250	3820250	1497.38996
266750	3820250	1519.405454
267250	3820250	1507.158288
267750	3820250	1360.186402
268250	3820250	1343.202339
268750	3820250	1326.345101
269250	3820250	1303.004697
269750	3820250	1837.200349
270250	3820250	1896.79979
270750	3820250	1852.377819
271250	3820250	1854.231617
271750	3820250	1872.909756
272250	3820250	1814.534736
272750	3820250	1886.100332
273250	3820250	1930.393989
273750	3820250	1829.391057
274250	3820250	1875.94043
274750	3820250	1854.9167
275250	3820250	1848.5
275750	3820250	1852.923981
276250	3820250	1781.341077
276750	3820250	1794.207219
277250	3820250	1758.430283
277750	3820250	1759.803959
278250	3820250	1750.522552
278750	3820250	1739.455944
279250	3820250	1728.600869
279750	3820250	1725.905427
280250	3820250	1719.008626
280750	3820250	1717.185992
281250	3820250	1725.580493
281750	3820250	1793.104716
282250	3820250	1805.029875
282750	3820250	1809.974183
283250	3820250	1823.430702
283750	3820250	1826.071039
284250	3820250	1752.579183
284750	3820250	1758.353252
285250	3820250	1771.207332
285750	3820250	1783.700651
286250	3820250	1904.309573
286750	3820250	1971.235119
287250	3820250	2036.047647
287750	3820250	1956.609515
288250	3820250	1968.791865
288750	3820250	1989.430622
289250	3820250	2018.006189
289750	3820250	1930.068279
290250	3820250	1903.241624
290750	3820250	1911.453322
291250	3820250	1891.573492
291750	3820250	1888.105095
292250	3820250	1869.142628
292750	3820250	1855.555688
293250	3820250	1836.834981
293750	3820250	1833.022854
294250	3820250	1827.564274
294750	3820250	1817.194091
295250	3820250	1835.350258
295750	3820250	1845.992271
296250	3820250	1912.198143
296750	3820250	1828.472807
297250	3820250	1829.780807
297750	3820250	1841.859825
298250	3820250	1831.711115
298750	3820250	1824.542257
299250	3820250	1803.878444
299750	3820250	1782.717563
300250	3820250	1756.097385
300750	3820250	1741.216777
301250	3820250	1777.470516
301750	3820250	1789.841464
302250	3820250	1764.303476
302750	3820250	1761.188892
303250	3820250	1789.064634
303750	3820250	1752.913777
304250	3820250	1021.847733
304750	3820250	977.0514313
305250	3820250	945.7056369
305750	3820250	913.7385963
306250	3820250	871.1649935
306750	3820250	819.2816691
307250	3820250	763.2624879
307750	3820250	707.7298627
308250	3820250	655.871328
308750	3820250	613.0410256
309250	3820250	577.6615511
309750	3820250	548.5985825
310250	3820250	526.1587938
310750	3820250	510.1964221
311250	3820250	500.0252439
311750	3820250	493.3134752
312250	3820250	485.7684333
312750	3820250	-102.0262872
313250	3820250	-588.8013135
313750	3820250	-545.3758891
314250	3820250	-652.8990266
314750	3820250	-839.6446404
315250	3820250	-1020.888089
315750	3820250	-1188.912924
316250	3820250	-1350.623596
316750	3820250	-1511.561777
317250	3820250	-1669.889551
317750	3820250	-1772.932723
318250	3820250	-1811.433519
318750	3820250	-1794.712322
319250	3820250	-1786.476655
319750	3820250	-1855.962702
320250	3820250	-1888.932945
320750	3820250	-1897.821845
321250	3820250	-1897.556716
321750	3820250	-1896.63441
322250	3820250	-1899.962334
322750	3820250	-1908.645983
323250	3820250	-1922.928866
323750	3820250	-1943.711679
324250	3820250	-1966.572508
324750	3820250	-1986.729573
325250	3820250	-2000.716443
325750	3820250	-2005.929503
326250	3820250	-2000.078974
326750	3820250	-1981.722413
327250	3820250	-1949.345683
327750	3820250	-1901.085685
328250	3820250	-1834.906464
328750	3820250	-1750.479019
329250	3820250	-1656.330572
329750	3820250	-1560.893425
330250	3820250	-1470.793419
330750	3820250	-1391.691905
331250	3820250	-1318.956429
331750	3820250	-1245.115461
332250	3820250	-1168.017046
332750	3820250	-1089.440733
333250	3820250	-1015.238084
333750	3820250	-953.1010181
334250	3820250	-902.1437581
334750	3820250	-858.3338539
335250	3820250	-818.8048331
335750	3820250	-781.7940958
